País,Total,Aérea,Marítima,Região,Continente,Ano,viagens_country,indicators_country,CountryID,Country,Year,AMA exchange rate,IMF based exchange rate,Population,Currency,Per capita GNI,"Agric, hunt, forest, fish (ISIC A-B)",Changes in inventories,Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General gov final consumption expenditure,Gross capital formation,Gross fixed capital formation,Household consumption,Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and comms (ISIC I)","Wholesale, retail, restaurants, hotels",GNI (USD),Gross Domestic Product (GDP),travels_per_capita,travels_per_1000_people
Outros,16991,13053,3938,Europa,Europa,2006,Outros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,6833,6380,453,Oceania,Oceania,2006,Australia,Australia,36.0,Australia,2006,1.327973441,1.327973441,20467030.0,Australian Dollar,38257.0,18086205091.0,847908524.0,57536542275.0,166000000000.0,607000000000.0,148000000000.0,226000000000.0,225000000000.0,459000000000.0,179000000000.0,76094895363.0,153000000000.0,366000000000.0,756000000000.0,67623340393.0,94044802547.0,783000000000.0,820000000000.0,0.00033385400812917167,0.33385400812917165
Nova Zelandia,1448,1327,121,Oceania,Oceania,2006,Nova Zelandia,New Zealand,554.0,New Zealand,2006,1.542055757,1.542055757,4179978.0,New Zealand Dollar,24893.0,5558813268.0,-171848520.0,6248152804.0,33026043176.0,85470320660.0,20480452709.0,26501635769.0,26673484290.0,64989867950.0,33456637204.0,14846415183.0,19401373699.0,50077307299.0,103000000000.0,8506177512.0,13172675444.0,104000000000.0,112000000000.0,0.00034641330648151736,0.34641330648151736
Arabia Saudita,81,81,0,Ásia,Ásia,2006,Arabia Saudita,Saudi Arabia,682.0,Saudi Arabia,2006,3.745,3.745,25382870.0,Saudi Riyal,15000.0,11113217623.0,6644779706.0,17259279039.0,226000000000.0,181000000000.0,83065954606.0,83728891856.0,77084112150.0,98093457944.0,113000000000.0,36173831776.0,220000000000.0,92897997330.0,379000000000.0,13301201602.0,24353271028.0,381000000000.0,377000000000.0,3.191128505169037e-06,0.003191128505169037
Iraque,18,13,5,Ásia,Ásia,2006,Iraque,Iraq,368.0,Iraq,2006,1475.0,1467.416667,28905607.0,Iraqi Dinar,2279.0,3775586441.0,943809694.0,2338806780.0,39289772327.0,40683511633.0,12069107746.0,14564762905.0,13620953210.0,28614403888.0,29732653780.0,998793220.0,37480344407.0,12659014915.0,65130281356.0,4571464407.0,4305064407.0,65863855425.0,64805393085.0,6.227165546117056e-07,0.0006227165546117056
Israel,6227,6142,85,Ásia,Ásia,2006,Israel,Israel,376.0,Israel,2006,4.455808333,4.455808333,6832077.0,New Israeli Sheqel,22472.0,2450922149.0,1849461463.0,6900403271.0,62831921630.0,122000000000.0,36825584075.0,31856270733.0,30006809270.0,85234663699.0,62603231363.0,23558762725.0,26778919451.0,70881915775.0,138000000000.0,15163518526.0,15923872507.0,154000000000.0,154000000000.0,0.000911435863500953,0.911435863500953
Outros,1344,1158,186,Ásia,Ásia,2006,Outros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paises nao especificados,229,84,145,Desconhecido,Ásia,2006,Paises nao especificados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa do Sul,1422,979,443,África,África,2007,Africa do Sul,South Africa,710.0,South Africa,2007,7.045365,7.045365,49996094.0,Rand,6467.0,7847017152.0,1013716110.0,9962478878.0,93124912620.0,264000000000.0,52914289090.0,64370367353.0,63356651243.0,211000000000.0,97145854047.0,51433531123.0,74288046113.0,141000000000.0,301000000000.0,30192332122.0,38051683625.0,323000000000.0,333000000000.0,2.8442221906375324e-05,0.028442221906375326
Angola,18882,18834,48,África,África,2007,Angola,Angola,24.0,Angola,2007,76.70614275,76.70614275,20909684.0,Kwanza,2703.0,3421447173.0,375106855.0,4864076591.0,44319670865.0,30360580216.0,10140400392.0,16793426886.0,16418320031.0,20220179824.0,26207262260.0,3466475980.0,35525090477.0,11710049579.0,66400546646.0,2207274360.0,8672608466.0,56520584201.0,65266415707.0,0.0009030265593683768,0.9030265593683768
Cabo Verde,158,158,0,África,África,2007,Cabo Verde,Cabo Verde,132.0,Cabo Verde,2007,80.56739713,80.56739713,504733.0,Cabo Verde Escudo,2937.0,128952906.0,84235066.0,166022491.0,545280120.0,1217198315.0,264329006.0,753783815.0,669548750.0,952869309.0,1002327280.0,68768884.0,89889847.0,431712234.0,1307751718.0,247357253.0,243816987.0,1482535173.0,1513937453.0,0.00031303679371073417,0.3130367937107342
Nigeria,177,172,5,África,África,2007,Nigeria,Nigeria,566.0,Nigeria,2007,125.8081083,125.8081083,148294028.0,Naira,1727.0,67976392875.0,2934233885.0,7818500647.0,58532794251.0,207000000000.0,26042050217.0,58555594840.0,55621360955.0,182000000000.0,49889885487.0,23156358693.0,59281790201.0,63381358366.0,273000000000.0,26260408062.0,48067351878.0,256000000000.0,276000000000.0,1.1935747001221115e-06,0.0011935747001221115
Outros,1934,1834,100,África,África,2007,Outros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,1280,1269,11,Am Central e Caribe,América,2007,Costa Rica,Costa Rica,188.0,Costa Rica,2007,516.6173902,516.6173902,4440019.0,Costa Rican Colon,5898.0,2127999869.0,247813923.0,1393810173.0,10910346143.0,22046866405.0,3442645513.0,6260554962.0,6012741039.0,18604220893.0,12333165533.0,4336787568.0,5029941445.0,9919904552.0,24138340201.0,1885530671.0,3781153491.0,26188662035.0,26884601978.0,0.0002882870546274689,0.2882870546274689
Cuba,0,0,0,Am Central e Caribe,América,2007,Cuba,Cuba,192.0,Cuba,2007,1.0,1.0,11269887.0,Cuban Peso,5115.0,2290300000.0,290000000.0,3217200000.0,11917900000.0,51050500000.0,20751500000.0,5968000000.0,5678000000.0,30299000000.0,10332600000.0,8503600000.0,9984500000.0,22899600000.0,57943700000.0,4562600000.0,14989500000.0,57644100000.0,58603800000.0,0.0,0.0
Guatemala,0,0,0,Am Central e Caribe,América,2007,Guatemala,Guatemala,320.0,Guatemala,2007,7.673304167,7.673304167,13696606.0,Quetzal,2390.0,3744425521.0,947261317.0,1806533808.0,7959780639.0,32074905313.0,3104084815.0,7908964822.0,6961703505.0,28970820498.0,14154222677.0,4640744901.0,6051588809.0,11335239907.0,31180890845.0,2256776267.0,5986326532.0,32739978152.0,33571717883.0,0.0,0.0
Panama,1314,1294,20,Am Central e Caribe,América,2007,Panama,Panama,591.0,Panama,2007,1.0,1.0,3431614.0,Balboa,5675.0,1032153307.0,1741400000.0,1498650111.0,15217800000.0,15036900000.0,2654900000.0,7676000000.0,5934600000.0,12382000000.0,16634700000.0,1524125576.0,2279127080.0,7779755939.0,20451454229.0,3525272016.0,4336495776.0,19474600000.0,21295984230.0,0.0003829101991074754,0.38291019910747537
